mep_id,name,country,party
"197824","Giuseppe Milazzo","Italy","European Conservatives and Reformists Group"
"256995","Gordan Bosanac","Croatia","Group of the Greens/European Free Alliance"
"257067","Grzegorz Braun","Poland",""
"256869","Grégory Allione","France","Renew Europe Group"
"30123","Guillaume Peltier","France","European Conservatives and Reformists Group"
"124715","György Hölvényi","Hungary","Patriots for Europe Group"
"197677","Günther Sidl","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"256992","Hana Jalloul Muro","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257092","Hanna Gedin","Sweden",""
"262021","Hanna Gronkiewicz-Waltz","Poland","Group of the European People's Party (Christian Democrats)"
"197464","Hannah Neumann","Germany","Group of the Greens/European Free Alliance"
"197682","Hannes Heide","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"256944","Hans Neuhoff","Germany","Europe of Sovereign Nations Group"
"125001","Harald Vilimsky","Austria","Patriots for Europe Group"
"256841","Helmut Brandstätter","Austria","Renew Europe Group"
"197391","Heléne Fritzon","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257028","Henrik Dahl","Kingdom of Denmark","Group of the European People's Party (Christian Democrats)"
"96787","Herbert Dorfmann","Italy","Group of the European People's Party (Christian Democrats)"
"197831","Hermann Tertsch","Spain","Patriots for Europe Group"
"130100","Hilde Vautmans","Belgium","Renew Europe Group"
"197408","Hildegard Bentele","Germany","Group of the European People's Party (Christian Democrats)"
"257257","Hristo Petrov","Bulgaria","Renew Europe Group"
"257068","Hélder Sousa Silva","Portugal","Group of the European People's Party (Christian Democrats)"
"257127","Ilaria Salis","Italy","The Left in the European Parliament - GUE/NGL"
"28617","Inese Vaidere","Latvia","Group of the European People's Party (Christian Democrats)"
"256968","Ingeborg ter Laak","Kingdom of the Netherlands","Group of the European People's Party (Christian Democrats)"
"28298","Iratxe García","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197447","Irena Joveva","Slovenia","Renew Europe Group"
"197591","Irene Tinagli","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"256945","Irmhild Boßdorf","Germany","Europe of Sovereign Nations Group"
"197679","Isabel Benjumea","Spain","Group of the European People's Party (Christian Democrats)"
"257009","Isabel Serra","Spain",""
"96675","Isabella Lövin","Sweden","Group of the Greens/European Free Alliance"
"197580","Isabella Tovaglieri","Italy","Patriots for Europe Group"
"256920","Isabelle Le Callennec","France","Group of the European People's Party (Christian Democrats)"
"257075","Isilda Gomes","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"39725","Iuliu Winkler","Romania","Group of the European People's Party (Christian Democrats)"
"197556","Ivan David","Czech Republic","Europe of Sovereign Nations Group"
"197624","Ivars Ijabs","Latvia","Renew Europe Group"
"197493","Jaak Madison","Estonia","European Conservatives and Reformists Group"
"257086","Jacek Ozdoba","Poland","European Conservatives and Reformists Group"
"257041","Jacek Protas","Poland","Group of the European People's Party (Christian Democrats)"
"124877","Jadwiga Wiśniewska","Poland","European Conservatives and Reformists Group"
"257082","Jagna Marczułajtis","Poland","Group of the European People's Party (Christian Democrats)"
"256840","Jan Farský","Czech Republic","Group of the European People's Party (Christian Democrats)"
"197432","Jan-Christoph Oetjen","Germany","Renew Europe Group"
"256967","Jan-Peter Warnke","Germany",""
"256843","Jana Nagyová","Czech Republic","Patriots for Europe Group"
"23781","Janusz Lewandowski","Poland","Group of the European People's Party (Christian Democrats)"
"220840","Jaroslav Bžoch","Czech Republic","Patriots for Europe Group"
"270261","Jaroslav Knot","Czech Republic","Patriots for Europe Group"
"256844","Jaroslava Pokorná Jermanová","Czech Republic","Patriots for Europe Group"
"257015","Jaume Asens Llodrà","Spain","Group of the Greens/European Free Alliance"
"28347","Javier Moreno Sánchez","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197606","Javier Zarzalejos","Spain","Group of the European People's Party (Christian Democrats)"
