vote_id,vote_date,title,result,olp_stage,total_for,total_against,total_abstain,source_url
176067,2025-05-07 13:20:15,The European Water Resilience Strategy,ADOPTED,,589,39,9,https://www.europarl.europa.eu/plenary/en/votes/176067.xml
176068,2025-05-07 13:20:25,The European Water Resilience Strategy,ADOPTED,,433,190,16,https://www.europarl.europa.eu/plenary/en/votes/176068.xml
176069,2025-05-07 13:20:36,The European Water Resilience Strategy,REJECTED,,232,393,17,https://www.europarl.europa.eu/plenary/en/votes/176069.xml
176071,2025-05-07 13:20:57,The European Water Resilience Strategy,REJECTED,,229,399,15,https://www.europarl.europa.eu/plenary/en/votes/176071.xml
176089,2025-05-08 12:51:46,Objection pursuant to Rule 115(2) and (3): genetically modified soybean MON 87705 × MON 87708 × MON 87708 × MON 89788,ADOPTED,,373,150,10,https://www.europarl.europa.eu/plenary/en/votes/176089.xml
176090,2025-05-07 12:23:04,"Amending of the ERDF, Cohesion Fund and Just Transition Fund as regards specific measures to address strategic challenges in the context of the mid-term review",ADOPTED,OLP_FIRST_READING,316,291,27,https://www.europarl.europa.eu/plenary/en/votes/176090.xml
176091,2025-05-07 12:23:35,Amending of Regulation (EU) 2021/1057 establishing the European Social Fund + (ESF+) as regards specific measures to address strategic challenges,ADOPTED,OLP_FIRST_READING,370,268,16,https://www.europarl.europa.eu/plenary/en/votes/176091.xml
176092,2025-05-08 12:47:39,Banking Union – annual report 2024,REJECTED,,180,346,28,https://www.europarl.europa.eu/plenary/en/votes/176092.xml
176097,2025-05-08 12:48:33,Banking Union – annual report 2024,ADOPTED,,439,48,55,https://www.europarl.europa.eu/plenary/en/votes/176097.xml
176098,2025-05-08 12:48:44,Banking Union – annual report 2024,REJECTED,,134,365,50,https://www.europarl.europa.eu/plenary/en/votes/176098.xml
176099,2025-05-08 12:48:56,Banking Union – annual report 2024,REJECTED,,121,372,56,https://www.europarl.europa.eu/plenary/en/votes/176099.xml
176100,2025-05-08 12:49:08,Banking Union – annual report 2024,ADOPTED,,366,77,94,https://www.europarl.europa.eu/plenary/en/votes/176100.xml
176101,2025-05-08 12:49:20,Banking Union – annual report 2024,ADOPTED,,267,246,31,https://www.europarl.europa.eu/plenary/en/votes/176101.xml
176102,2025-05-08 12:49:44,Banking Union – annual report 2024,ADOPTED,,355,117,69,https://www.europarl.europa.eu/plenary/en/votes/176102.xml
176103,2025-05-08 12:50:01,Banking Union – annual report 2024,REJECTED,,77,382,88,https://www.europarl.europa.eu/plenary/en/votes/176103.xml
176104,2025-05-08 12:50:13,Banking Union – annual report 2024,REJECTED,,89,375,83,https://www.europarl.europa.eu/plenary/en/votes/176104.xml
176107,2025-05-08 12:50:36,Banking Union – annual report 2024,ADOPTED,,378,142,21,https://www.europarl.europa.eu/plenary/en/votes/176107.xml
