name,country,party,national_party,profile_url,mep_id,photo_url
Riho Terras,Estonia,Group of the European People's Party (Christian Democrats),Isamaa,https://www.europarl.europa.eu/meps/en/204449,204449.0,http://commons.wikimedia.org/wiki/Special:FilePath/1649592035853%2020200203%20TERRAS%20Riho%20EE%20011.jpg
Rima Hassan,France,,La France insoumise,https://www.europarl.europa.eu/meps/en/256912,256912.0,http://commons.wikimedia.org/wiki/Special:FilePath/Rima%20Hassan%20MEP%20%282025%29.jpg
Robert Biedroń,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democracy of the Republic of Poland,https://www.europarl.europa.eu/meps/en/197498,197498.0,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Biedro%C5%84%20in%202023.jpg
Roberta Metsola,Malta,Group of the European People's Party (Christian Democrats),Nationalist Party,https://www.europarl.europa.eu/meps/en/118859,118859.0,http://commons.wikimedia.org/wiki/Special:FilePath/Official%20portrait%20of%20Roberta%20Metsola.jpg
Roberto Vannacci,Italy,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/257125,257125.0,http://commons.wikimedia.org/wiki/Special:FilePath/Roberto%20Vannacci.jpg
Roberts Zīle,Latvia,European Conservatives and Reformists Group,National Alliance,https://www.europarl.europa.eu/meps/en/28615,28615.0,http://commons.wikimedia.org/wiki/Special:FilePath/Roberts%20Z%C4%ABle%2C%202018-10-18.png
Rody Tolassy,France,Patriots for Europe Group,National Rally,https://www.europarl.europa.eu/meps/en/256888,256888.0,
Roman Haider,Austria,Patriots for Europe Group,Austrian Freedom Party,https://www.europarl.europa.eu/meps/en/198176,198176.0,http://commons.wikimedia.org/wiki/Special:FilePath/Roman%20Haider.jpg
Romana Jerković,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Croatia,https://www.europarl.europa.eu/meps/en/112747,112747.0,http://commons.wikimedia.org/wiki/Special:FilePath/Romana%20Jerkovi%C4%87%20EU%20slu%C5%BEbeno.jpg
Romana Tomc,Slovenia,Group of the European People's Party (Christian Democrats),Slovenian Democratic Party,https://www.europarl.europa.eu/meps/en/125104,125104.0,http://commons.wikimedia.org/wiki/Special:FilePath/Romana%20Tomc%20cropped.jpg
Rosa Estaràs,Spain,Group of the European People's Party (Christian Democrats),People's Party,https://www.europarl.europa.eu/meps/en/96811,96811.0,http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20Estar%C3%A0s%20Ferragut%2C%20Spain-MIP-Europaparlament-by-Leila-Paul-4.jpg
Rosa María Serrano Sierra,Spain,,Spanish Socialist Workers' Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718810567665%2020240619%20SERRANO%20SIERRA%20Rosa%20Maria%20ES%20009.jpg
Rudi Kennes,Belgium,,,https://www.europarl.europa.eu/meps/en/256890,256890.0,http://commons.wikimedia.org/wiki/Special:FilePath/Rudi%20Kennes%2C%208%20May%20commemoration%202022%2C%20Fort%20Breendonk.jpg
Ruggero Razza,Italy,European Conservatives and Reformists Group,,https://www.europarl.europa.eu/meps/en/257104,257104.0,http://commons.wikimedia.org/wiki/Special:FilePath/Ruggero%20Razza%20MEP%20%282024%29.jpg
Ruth Firmenich,Germany,,Sahra Wagenknecht Alliance,https://www.europarl.europa.eu/meps/en/25758,25758.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719323288615%2020240624%20FIRMENICH%20Ruth%20DE%20022.jpg
Sabine Verheyen,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/96756,96756.0,http://commons.wikimedia.org/wiki/Special:FilePath/Verheyen%2C%20Sabine-9440.jpg
Sabrina Repp,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Germany,https://www.europarl.europa.eu/meps/en/256935,256935.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718704819409%2020240617%20REPP%20Sabrina%20DE%20002.jpg
Sakis Arnaoutoglou,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,PASOK – Movement for Change,https://www.europarl.europa.eu/meps/en/256829,256829.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718289218859%2020240612%20ARNAOUTOGLOU%20Athanasios%20EL%2004.jpg
Salvatore De Meo,Italy,Group of the European People's Party (Christian Democrats),The People of Freedom,https://www.europarl.europa.eu/meps/en/204333,204333.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810450405%2020240619%20DE%20MEO%20Salvatore%20IT%20005.jpg
Sander Smit,Kingdom of the Netherlands,Group of the European People's Party (Christian Democrats),Christian Democratic Appeal,https://www.europarl.europa.eu/meps/en/125325,125325.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720447637031%2020240708%20SANDER%20Smit%20NL%20004-2.jpg
Sandra Gómez López,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spanish Socialist Workers' Party,https://www.europarl.europa.eu/meps/en/256997,256997.0,http://commons.wikimedia.org/wiki/Special:FilePath/Sandra%20G%C3%B3mez%20en%202017.jpg
Sandra Kalniete,Latvia,Group of the European People's Party (Christian Democrats),Unity,https://www.europarl.europa.eu/meps/en/96934,96934.0,http://commons.wikimedia.org/wiki/Special:FilePath/Kalniete%2C%20Sandra-1372.jpg
Sandro Gozi,France,Renew Europe Group,Democratic Party,https://www.europarl.europa.eu/meps/en/204419,204419.0,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Gozi%20daticamera.jpg
Sandro Ruotolo,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,independent politician,https://www.europarl.europa.eu/meps/en/257170,257170.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Alessandro%20Ruotolo.jpg
Sarah Knafo,France,Europe of Sovereign Nations Group,Reconquête,https://www.europarl.europa.eu/meps/en/256924,256924.0,http://commons.wikimedia.org/wiki/Special:FilePath/Sarah%20Knafo%2C%20d%C3%A9cembre%202021%20%2852104057536%29.jpg
Saraswati Matthieu,Belgium,,Groen,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saraswati%20Matthieu%202022.jpg
Saskia Bricmont,Belgium,Group of the Greens/European Free Alliance,Ecolo,https://www.europarl.europa.eu/meps/en/197470,197470.0,http://commons.wikimedia.org/wiki/Special:FilePath/Saskia%20Bricmont%20%28cropped%29.jpg
Sebastiaan Stöteler,Kingdom of the Netherlands,Patriots for Europe Group,Party for Freedom,https://www.europarl.europa.eu/meps/en/256991,256991.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281946101%2020240612%20Sebastiaan%20St%C3%B6teler%20NL%20006.jpg
Sebastian Everding,Germany,,,https://www.europarl.europa.eu/meps/en/256961,256961.0,http://commons.wikimedia.org/wiki/Special:FilePath/Sebastian%20Everding.jpg
Sebastian Kruis,Kingdom of the Netherlands,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/256996,256996.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281906255%2020240611%20KRUIS%20Sebastian%20NL%20009.jpg
Sebastian Tynkkynen,Finland,European Conservatives and Reformists Group,Finns Party,https://www.europarl.europa.eu/meps/en/256806,256806.0,http://commons.wikimedia.org/wiki/Special:FilePath/Sebastian%20Tynkkynen.jpg
Sebastião Bugalho,Portugal,Group of the European People's Party (Christian Democrats),,https://www.europarl.europa.eu/meps/en/257081,257081.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281726090%2020240611%20BUGALHO%20Sebastiao%20PT%20005.jpg
Sergey Lagodinsky,Germany,Group of the Greens/European Free Alliance,Alliance '90/The Greens,https://www.europarl.europa.eu/meps/en/197460,197460.0,http://commons.wikimedia.org/wiki/Special:FilePath/Sergey%20Lagodinsky%20in%20the%20European%20Parliament.jpg
Sergio Berlato,Italy,European Conservatives and Reformists Group,National Alliance,https://www.europarl.europa.eu/meps/en/4746,4746.0,
Seán Kelly,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael,https://www.europarl.europa.eu/meps/en/96668,96668.0,http://commons.wikimedia.org/wiki/Special:FilePath/Kelly%2C%20Se%C3%A1n-9813.jpg
Sibylle Berg,Germany,,,https://www.europarl.europa.eu/meps/en/256960,256960.0,http://commons.wikimedia.org/wiki/Special:FilePath/Sibylle%20Berg%20an%20der%20re-publica%2019-2.jpg
Siegbert Droese,Germany,,Alternative for Germany,,,http://commons.wikimedia.org/wiki/Special:FilePath/1720623956644%2020240710%20DROESE%20Siegbert%20Frank%20DE%20008.jpg
Siegfried Mureșan,Romania,,National Liberal Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718698107626%2020240617%20MURESAN%20Siegfried%20RO%20004.jpg
Sigrid Friis Frederiksen,Kingdom of Denmark,Renew Europe Group,Danish Social Liberal Party,https://www.europarl.europa.eu/meps/en/257038/SIGRID_FRIIS_PROSCHOWSKY/home,257038,http://commons.wikimedia.org/wiki/Special:FilePath/A%20photo%20of%20Sigrid%20Friis%20%28cropped%29.jpg
Silvia Sardone,Italy,Patriots for Europe Group,The People of Freedom,https://www.europarl.europa.eu/meps/en/197578,197578.0,http://commons.wikimedia.org/wiki/Special:FilePath/Silvia%20Sardone%20-%202025%20%28cropped%29.jpg
Sofie Eriksson,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Swedish Social Democratic Party,https://www.europarl.europa.eu/meps/en/257088,257088.0,http://commons.wikimedia.org/wiki/Special:FilePath/Sofie%20Eriksson.jpg
Sophia Kircher,Austria,Group of the European People's Party (Christian Democrats),Austrian People's Party,https://www.europarl.europa.eu/meps/en/256831,256831.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281703645%2020240611%20KIRCHER%20Sophia%20AT%20010.jpg
Sophie Wilmès,Belgium,Renew Europe Group,Reformist Movement,https://www.europarl.europa.eu/meps/en/220801,220801.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718636579270%2020240612%20WILMES%20Sophie%20BE%2002B.jpg
Stanislav Stoyanov,Bulgaria,Europe of Sovereign Nations Group,,https://www.europarl.europa.eu/meps/en/257255,257255.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719413156880%2020240626%20STOYANOV%20Stanislav%20BG%20007.jpg
Stanisław Tyszka,Poland,Europe of Sovereign Nations Group,Direct Democracy,https://www.europarl.europa.eu/meps/en/257062,257062.0,http://commons.wikimedia.org/wiki/Special:FilePath/Stanis%C5%82aw%20Tyszka%20Sejm%202016a.jpg
Stefan Berger,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/197410,197410.0,http://commons.wikimedia.org/wiki/Special:FilePath/Berger%2C%20Stefan-1.jpg
Stefan Köhler,Germany,Group of the European People's Party (Christian Democrats),Christian Social Union of Bavaria,https://www.europarl.europa.eu/meps/en/256973,256973.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718294647582%2020240613%20K%C3%96HLER%20Stefan%20DE%20001.jpg
Stefano Bonaccini,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,https://www.europarl.europa.eu/meps/en/257108,257108.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719930276898%2020240702%20BONACCINI%20Stefano%20IT%20003.jpg
Stefano Cavedagna,Italy,European Conservatives and Reformists Group,Brothers of Italy,https://www.europarl.europa.eu/meps/en/257096,257096.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718797789928%2020240618%20CAVEDAGNA%20Stefano%20IT%20010.jpg
Stephen Nikola Bartulica,Croatia,European Conservatives and Reformists Group,Home and National Rally,https://www.europarl.europa.eu/meps/en/257000,257000.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719404976985%2020240626%20BARTULICA%20Stephen%20HR%20007.jpg
Stine Bosse,Kingdom of Denmark,Renew Europe Group,Moderate Party,https://www.europarl.europa.eu/meps/en/257020,257020.0,http://commons.wikimedia.org/wiki/Special:FilePath/20190116%20Stine%20Bosse%200098%20%2845853715825%29.jpg
Stéphanie Yon-Courtin,France,Renew Europe Group,The Republicans,https://www.europarl.europa.eu/meps/en/197581,197581.0,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20de%20St%C3%A9phanie%20Yon-Courtin%20%28cropped%29.jpg
Sunčana Glavak,Croatia,Group of the European People's Party (Christian Democrats),Croatian Democratic Union,https://www.europarl.europa.eu/meps/en/202036,202036.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810187481%2020240619%20GLAVAK%20Suncana%20HR%20021.jpg
Susana Solís Pérez,Spain,Group of the European People's Party (Christian Democrats),Ciudadanos,https://www.europarl.europa.eu/meps/en/197784,197784.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718718407234%2020240617%20SOLIS%20PEREZ%20Susana%20ES%20003.jpg
Susanna Ceccardi,Italy,Patriots for Europe Group,Lega per Salvini Premier,https://www.europarl.europa.eu/meps/en/197786,197786.0,http://commons.wikimedia.org/wiki/Special:FilePath/Susanna%20Ceccardi.jpg
Sven Mikser,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party,https://www.europarl.europa.eu/meps/en/197497,197497.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810598789%2020240619%20MIKSER%20Sven%20EE%20010.jpg
Sven Simon,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/197426,197426.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721732619116%2020240723%20EP-171134A%20J1%20405.jpg
Svenja Hahn,Germany,Renew Europe Group,Free Democratic Party,https://www.europarl.europa.eu/meps/en/197444,197444.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721134977531%2020240716%20HAHN%20Svenja%20DE%20011.jpg
Sérgio Gonçalves,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/257079,257079.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719242677132%2020240624%20GONCALVES%20Sergio%20PT%20004.jpg
Sérgio Humberto,Portugal,Group of the European People's Party (Christian Democrats),Social Democratic Party,https://www.europarl.europa.eu/meps/en/257065,257065.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718797477608%2020240618%20PEREIRA%20DA%20SILVA%20Sergio%20Humberto%20PT%20005.jpg
Séverine Werbrouck,France,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/261796,261796.0,
Tamás Deutsch,Hungary,Patriots for Europe Group,Fidesz,https://www.europarl.europa.eu/meps/en/96826,96826.0,http://commons.wikimedia.org/wiki/Special:FilePath/Tam%C3%A1s%20Deutsch%201721731960554%2020240723%20EP-171140A%20AR2%20EG%2003%20%28cropped%29.jpg
Taner Kabilov,Bulgaria,,,https://www.europarl.europa.eu/meps/en/257256,257256.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719326326816%2020240625%20KABILOV%20Taner%20BG%20007.jpg
Terry Reintke,Germany,Group of the Greens/European Free Alliance,Federation of Young European Greens,https://www.europarl.europa.eu/meps/en/103381,103381.0,http://commons.wikimedia.org/wiki/Special:FilePath/BDK%20Karlsruhe%20Nov%202023%20Terry%20Reintke%202%20cropped.jpg
Thierry Mariani,France,Patriots for Europe Group,The Popular Right,https://www.europarl.europa.eu/meps/en/197623,197623.0,http://commons.wikimedia.org/wiki/Special:FilePath/Thierry.Mariani.jpg
Thijs Reuten,Kingdom of the Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/218347,218347.0,http://commons.wikimedia.org/wiki/Special:FilePath/Thijs%20Reuten%2C%202010.jpg
Thomas Bajada,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/256936,256936.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718704127742%2020240617%20BAJADA%20Thomas%20MT%20007.jpg
Thomas Geisel,Germany,,Sahra Wagenknecht Alliance,https://www.europarl.europa.eu/meps/en/256939,256939.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810599432%2020240619%20GEISEL%20Thomas%20DE%20006.jpg
